S.N,Logic/Function,Date and Time
1,,2024-12-17 22:18:07
2,,2024-12-17 22:18:11
3,,2024-12-17 22:18:12
4,Making  this project projectLive,2024-12-17 17:21:10
5,Making live this project project,2024-12-17 17:21:16
6,fixed git implenentaion git in server,2024-12-17 17:55:22
7,fixing ui of this website,2024-12-17 19:33:25
8,fixing styles of same website,2024-12-17 19:51:49
9,making this websiteresponsive,2024-12-17 20:21:41
10,reStaetedWebServerAndFixesSomeCOdes,2024-12-18 01:01:52
10,setting ssh for server,2024-12-18 02:40
11,tower oh Hanoi,2024-12-18 03:28:2313,Adding proper paths to make this project run in server,2024-12-20 08:38:59
13,also removed 30 min auto update logic and ,2024-12-20 08:39:57
14,and added pythonAnythere Task,2024-12-20 08:40:18
15,added authentication system to stop visiters to addtheir entry ,2024-12-20 09:39:48
16,passupdt,2024-12-20 09:46:06
17,added authentication system to stop visiters to addtheir entry ,2024-12-20 09:53:39
18,added the sleek ui and styles constent to overall page(in this code tracker project),2024-12-21 11:08:00
19,rount queue,2024-12-22 03:20:48
20,Learned aboout Priority Queue DSA,2024-12-23 09:23:24
21,Inmpenented fully functional linear queue  which can even refill anter fully dequeued ,2024-12-23 18:56:16
22,making todolist editable in blazor webapp,2024-12-24 18:22:00
23,started to make linked list implementaioon in C,2024-12-24 18:22:42
24,Designed the UI of calculater webApp in Blazor,2024-12-25 16:36:59
25,"Also added some funcanalities(All except actual calculation, like: showing input in display, clear display delete nth iten and so onn)",2024-12-25 16:38:31
